STATE,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
BAYELSA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,49
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
CROSS RIVER,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,6
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,2
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,537
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,9
DELTA STATE,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,182
EBONYI,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,23
EBONYI,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,13
EBONYI,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,72
EBONYI,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,6
EBONYI,OFFENCES AGAINST LAWFUL AUTH,PERJURY,3
EBONYI,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
EBONYI,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
EBONYI,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,34
EDO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
EDO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,4
EDO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,243
EDO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,2
EDO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
EDO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,6
EDO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,11
EDO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,41
ENUGU,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,125
ENUGU,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
ENUGU,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
GOMBE,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,13
GOMBE,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
GOMBE,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,1
GOMBE,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,4
GOMBE,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
GOMBE,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
GOMBE,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
GOMBE,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,14
EKITI,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
EKITI,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
IMO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
IMO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
IMO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
IMO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,80
IMO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
IMO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
IMO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
IMO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,5
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,5
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,20
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,2
JIGAWA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,15
KADUNA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
KADUNA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
KADUNA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,2
KADUNA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
KADUNA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
KADUNA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
KADUNA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,2
KADUNA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
KANO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,5
KANO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,3
KANO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,56
KANO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,183
KANO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
KANO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
KANO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,4
KANO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,38
KATSINA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
KATSINA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
KATSINA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
KATSINA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,5
KATSINA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
KATSINA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
KATSINA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,7
KATSINA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,45
KEBBI,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,4
KEBBI,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
KEBBI,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
KEBBI,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,6
KEBBI,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
KEBBI,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
KEBBI,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
KEBBI,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,2
KOGI,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
KOGI,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,23
KWARA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,3
KWARA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
KWARA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
KWARA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,11
KWARA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,4
KWARA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,1
KWARA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
KWARA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,5
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,23
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,13
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,72
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,6183
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,PERJURY,35
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,4
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,18
LAGOS STATE,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,712
NIGER,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,2
NIGER,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
NIGER,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
NIGER,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,21
NIGER,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
NIGER,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,1
NIGER,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,18
NIGER,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,712
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,96
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,4
NASARAWA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,33
OGUN,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,537
OGUN,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
OGUN,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,279
ONDO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,10
ONDO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
ONDO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
OYO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
OYO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
OYO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,6
OYO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,40
OYO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
OYO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
OYO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
OYO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
OSUN,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
OSUN,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
OSUN,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
OSUN,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,52
OSUN,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
OSUN,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
OSUN,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
PLATEAU,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
RIVERS,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,22
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,3
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
SOKOTO,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
TARABA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,3
TARABA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,4
TARABA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
TARABA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,1
TARABA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
TARABA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,2
TARABA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,3
TARABA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,19
YOBE,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,3
YOBE,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
YOBE,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
YOBE,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
YOBE,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
YOBE,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
YOBE,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,7
YOBE,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,77
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
ZAMFARA,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,31
